level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3308	4678	-1	
2	1	1	0	0	0	106	231	3095	3113	-1	
3	1	1	1	0	0	106	231	3095	3139	-1	
4	1	1	1	1	0	171	231	2964	51	-1	
5	1	1	1	1	1	171	231	182	36	91.598946	Ethicfin
5	1	1	1	1	2	367	231	49	36	93.232758	Al
5	1	1	1	1	3	429	231	196	36	89.275337	Ghamdi
5	1	1	1	1	4	638	233	286	43	95.884079	Contracting
5	1	1	1	1	5	941	234	84	33	96.411087	Est.
5	1	1	1	1	6	2229	225	52	61	62.350929	CY
5	1	1	1	1	7	2296	225	97	61	0.000000	glial
5	1	1	1	1	8	2413	234	141	45	3.938431	Srolssl
5	1	1	1	1	9	2574	246	80	36	26.695473	pro
5	1	1	1	1	10	2668	234	35	36	43.007896	I]
5	1	1	1	1	11	2720	246	84	18	26.729492	ase
5	1	1	1	1	12	2821	243	35	33	50.218925	Ga
5	1	1	1	1	13	2873	237	60	45	37.807053	fe
5	1	1	1	1	14	2950	243	39	33	40.845573	Ga
5	1	1	1	1	15	3005	234	130	42	32.308746	daw
5	1	1	1	1	16	3094	225	41	61	32.308746	je
4	1	1	1	2	0	157	296	2989	35	-1	
5	1	1	1	2	1	157	297	290	33	92.165245	Al-Muzahimiyah,
5	1	1	1	2	2	458	297	117	30	91.950829	Wasila,
5	1	1	1	2	3	590	299	101	25	96.620804	19658
5	1	1	1	2	4	1732	296	26	21	34.318741	ss
5	1	1	1	2	5	2657	303	108	25	0.000000	VarVcA
5	1	1	1	2	6	2810	292	69	44	29.161751	bell
5	1	1	1	2	7	2885	297	261	34	0.000000	dhingedeolyl
4	1	1	1	3	0	156	348	2986	48	-1	
5	1	1	1	3	1	156	351	44	27	92.847084	CR
5	1	1	1	3	2	220	360	6	18	87.755638	:
5	1	1	1	3	3	242	348	305	27	89.360016	798796645224
5	1	1	1	3	4	1601	349	240	47	56.888268	—
5	1	1	1	3	5	2834	355	11	19	13.544647	\
5	1	1	1	3	6	2856	354	97	21	13.544647	NAAN
5	1	1	1	3	7	2971	358	5	15	0.000000	2
5	1	1	1	3	8	2989	352	79	28	20.082329	Lowel
5	1	1	1	3	9	3093	351	49	29	15.972221	ads
4	1	1	1	4	0	161	394	2984	42	-1	
5	1	1	1	4	1	161	403	61	27	96.453545	VAT
